Pango lineage,,,,,,,,,,,,,,,,,,,
taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note,pango_lineage_unaliased,sample,method,depth
Consensus_UT-UPHL-250328574534_bbnorm_30_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,bbnorm,30
Consensus_UT-UPHL-250328574534_bbnorm_400_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.89,0.02,scorpio call: Alt alleles 55; Ref alleles 1; Amb alleles 2; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,bbnorm,400
Consensus_UT-UPHL-250328574534_bbnorm_5000_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.84,0.02,scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 2; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,bbnorm,5000
Consensus_UT-UPHL-250328574534_bbnorm_500_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 4; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,bbnorm,500
Consensus_UT-UPHL-250328574534_bbnorm_50_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,bbnorm,50
Consensus_UT-UPHL-250328574534_raw_all_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 1; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,raw,all
Consensus_UT-UPHL-250328574534_seqkit_10000_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 1; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,10000
Consensus_UT-UPHL-250328574534_seqkit_1000_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.82,0.02,scorpio call: Alt alleles 51; Ref alleles 1; Amb alleles 2; Oth alleles 8,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,1000
Consensus_UT-UPHL-250328574534_seqkit_100_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.84,0.02,scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 4; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,100
Consensus_UT-UPHL-250328574534_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.63,,Unassigned,UT-UPHL-250328574534,seqkit,10
Consensus_UT-UPHL-250328574534_seqkit_200_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.79,0.02,scorpio call: Alt alleles 49; Ref alleles 1; Amb alleles 8; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,200
Consensus_UT-UPHL-250328574534_seqkit_300_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.77,0.02,scorpio call: Alt alleles 48; Ref alleles 1; Amb alleles 5; Oth alleles 8,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,300
Consensus_UT-UPHL-250328574534_seqkit_30_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.68,0.02,scorpio call: Alt alleles 42; Ref alleles 1; Amb alleles 18; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.26,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,30
Consensus_UT-UPHL-250328574534_seqkit_400_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.84,0.02,scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 2; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,400
Consensus_UT-UPHL-250328574534_seqkit_5000_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 1; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,5000
Consensus_UT-UPHL-250328574534_seqkit_500_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.84,0.02,scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 2; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,500
Consensus_UT-UPHL-250328574534_seqkit_50_threshold_0.6_quality_20,MC.26.1,0,,Omicron (BA.2-like),0.69,0.02,scorpio call: Alt alleles 43; Ref alleles 1; Amb alleles 17; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.16,Usher placements: MC.26.1(1/1),B.1.1.529.2.86.1.1.11.1.3.1.1.26.1,UT-UPHL-250328574534,seqkit,50
Consensus_UT-UPHL-250328588022_bbnorm_10000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.53,0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 9; Oth alleles 6,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,10000
Consensus_UT-UPHL-250328588022_bbnorm_1000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Omicron (BA.2-like),0.71,0.02,scorpio call: Alt alleles 44; Ref alleles 1; Amb alleles 10; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.15,Usher placements: LP.8.1(1/3) PF.2(2/3),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,1000
Consensus_UT-UPHL-250328588022_bbnorm_100_threshold_0.6_quality_20,LP.8.1,0.5,,Omicron (BA.2-like),0.76,0.02,scorpio call: Alt alleles 47; Ref alleles 1; Amb alleles 9; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.19,Usher placements: LP.8.1(1/2) LP.8.1.4(1/2),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,100
Consensus_UT-UPHL-250328588022_bbnorm_10_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.47,0,scorpio call: Alt alleles 15; Ref alleles 0; Amb alleles 15; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.37,,Unassigned,UT-UPHL-250328588022,bbnorm,10
Consensus_UT-UPHL-250328588022_bbnorm_200_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.82,0.02,scorpio call: Alt alleles 51; Ref alleles 1; Amb alleles 2; Oth alleles 8,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.11,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,200
Consensus_UT-UPHL-250328588022_bbnorm_300_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Omicron (BA.2-like),0.81,0.03,scorpio call: Alt alleles 50; Ref alleles 2; Amb alleles 1; Oth alleles 9,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.12,Usher placements: LP.8.1(1/3) PF.2(2/3),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,300
Consensus_UT-UPHL-250328588022_bbnorm_30_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.6,,Unassigned,UT-UPHL-250328588022,bbnorm,30
Consensus_UT-UPHL-250328588022_bbnorm_400_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Omicron (BA.2-like),0.77,0.02,scorpio call: Alt alleles 48; Ref alleles 1; Amb alleles 3; Oth alleles 10,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.13,Usher placements: LP.8.1(1/3) PF.2(2/3),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,400
Consensus_UT-UPHL-250328588022_bbnorm_5000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.5,0,scorpio call: Alt alleles 16; Ref alleles 0; Amb alleles 8; Oth alleles 8,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.18,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,5000
Consensus_UT-UPHL-250328588022_bbnorm_500_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Omicron (BA.2-like),0.77,0.02,scorpio call: Alt alleles 48; Ref alleles 1; Amb alleles 3; Oth alleles 10,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.13,Usher placements: LP.8.1(1/3) PF.2(2/3),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,bbnorm,500
Consensus_UT-UPHL-250328588022_bbnorm_50_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.38,0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 18; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.5,,Unassigned,UT-UPHL-250328588022,bbnorm,50
Consensus_UT-UPHL-250328588022_raw_all_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.53,0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 11; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,raw,all
Consensus_UT-UPHL-250328588022_seqkit_10000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.53,0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 11; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,10000
Consensus_UT-UPHL-250328588022_seqkit_1000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.5,0,scorpio call: Alt alleles 16; Ref alleles 0; Amb alleles 8; Oth alleles 8,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,1000
Consensus_UT-UPHL-250328588022_seqkit_100_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Omicron (BA.3-like),0.64,0.04,scorpio call: Alt alleles 34; Ref alleles 2; Amb alleles 12; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.24,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio lineage BA.3 conflicts with inference lineage LP.8.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,100
Consensus_UT-UPHL-250328588022_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.69,,Unassigned,UT-UPHL-250328588022,seqkit,10
Consensus_UT-UPHL-250328588022_seqkit_200_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.79,0.02,scorpio call: Alt alleles 49; Ref alleles 1; Amb alleles 8; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.2,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,200
Consensus_UT-UPHL-250328588022_seqkit_300_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.53,0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 12; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.18,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,300
Consensus_UT-UPHL-250328588022_seqkit_30_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.46,,Unassigned,UT-UPHL-250328588022,seqkit,30
Consensus_UT-UPHL-250328588022_seqkit_400_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.5,0,scorpio call: Alt alleles 16; Ref alleles 0; Amb alleles 9; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,400
Consensus_UT-UPHL-250328588022_seqkit_5000_threshold_0.6_quality_20,LP.8.1,0.6666666666666666,,Probable Omicron (Unassigned),0.53,0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 11; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: LP.8.1(1/3) PF.2(2/3); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,5000
Consensus_UT-UPHL-250328588022_seqkit_500_threshold_0.6_quality_20,LP.8.1,0.6,,Probable Omicron (Unassigned),0.47,0,scorpio call: Alt alleles 15; Ref alleles 0; Amb alleles 10; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.2,Usher placements: LP.8.1(2/5) NY.4(1/5) PF.2(2/5); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328588022,seqkit,500
Consensus_UT-UPHL-250328588022_seqkit_50_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.44,0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 18; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.38,,Unassigned,UT-UPHL-250328588022,seqkit,50
Consensus_UT-UPHL-250328616516_bbnorm_10000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,10000
Consensus_UT-UPHL-250328616516_bbnorm_1000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.9,0.02,scorpio call: Alt alleles 56; Ref alleles 1; Amb alleles 1; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,1000
Consensus_UT-UPHL-250328616516_bbnorm_100_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,100
Consensus_UT-UPHL-250328616516_bbnorm_10_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.85,0,scorpio call: Alt alleles 53; Ref alleles 0; Amb alleles 5; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,10
Consensus_UT-UPHL-250328616516_bbnorm_200_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,200
Consensus_UT-UPHL-250328616516_bbnorm_300_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,300
Consensus_UT-UPHL-250328616516_bbnorm_30_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,30
Consensus_UT-UPHL-250328616516_bbnorm_400_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,400
Consensus_UT-UPHL-250328616516_bbnorm_5000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,5000
Consensus_UT-UPHL-250328616516_bbnorm_500_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,500
Consensus_UT-UPHL-250328616516_bbnorm_50_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.92,0.02,scorpio call: Alt alleles 57; Ref alleles 1; Amb alleles 0; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,bbnorm,50
Consensus_UT-UPHL-250328616516_raw_all_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,raw,all
Consensus_UT-UPHL-250328616516_seqkit_10000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,10000
Consensus_UT-UPHL-250328616516_seqkit_1000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 2; Oth alleles 6,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,1000
Consensus_UT-UPHL-250328616516_seqkit_100_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.77,0.02,scorpio call: Alt alleles 48; Ref alleles 1; Amb alleles 9; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.18,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,100
Consensus_UT-UPHL-250328616516_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.67,,Unassigned,UT-UPHL-250328616516,seqkit,10
Consensus_UT-UPHL-250328616516_seqkit_200_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.84,0.02,scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 5; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.13,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,200
Consensus_UT-UPHL-250328616516_seqkit_300_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.85,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 4; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.11,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,300
Consensus_UT-UPHL-250328616516_seqkit_30_threshold_0.6_quality_20,BA.2,,,Omicron (BA.2-like),0.58,0.02,scorpio call: Alt alleles 36; Ref alleles 1; Amb alleles 25; Oth alleles 0,SCORPIO_v0.1.12,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.35,scorpio called lineage BA.2,B.1.1.529.2,UT-UPHL-250328616516,seqkit,30
Consensus_UT-UPHL-250328616516_seqkit_400_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.07,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,400
Consensus_UT-UPHL-250328616516_seqkit_5000_threshold_0.6_quality_20,LP.8.1,0,,Omicron (BA.2-like),0.87,0.02,scorpio call: Alt alleles 54; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LP.8.1(1/1),B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,UT-UPHL-250328616516,seqkit,5000
